Epoch,EpRet/Mean,EpRet/Std,EpRet/Min,EpRet/Max,EpLen/Mean,EpLen/Min,EpLen/Max,Values/V/Mean,Values/V/Min,Values/V/Max,Values/Adv/Mean,Values/Adv/Min,Values/Adv/Max,Loss/Pi,Loss/Value,Loss/DeltaPi,Loss/DeltaValue,Entropy,KL,Misc/StopIter,Misc/Seed,PolicyRatio,LR,Misc/RewScaleMean,Misc/RewScaleStddev,Misc/ExplorationNoiseStd,TotalEnvSteps,Time,FPS
1,-103.88217,2.647093,-129.27623,-100.22571,15.641659,2.0,72.0,-0.099929675,-0.43534556,0.25419042,-7.6913548,-11.442092,0.024654225,7.6913548,61.65921,-0.10191414,-39.871895,0.7436313,0.0015449261,80.0,37656,0.98675966,0.0003,-92.87608337402344,10.373066902160645,0.508999994180536,32000,2,11621
2,-104.31518,3.3000348,-136.42836,-100.267395,17.201086,2.0,71.0,-2.0713003,-8.591709,8.306728,-4.7942314,-17.93079,4.4384046,4.794231,37.90357,-0.13711068,-26.072975,0.7387173,0.0025494006,80.0,37656,0.98226535,0.0002985,-92.50260925292969,10.598956108093262,0.5065050014657152,64000,5,12410
3,-104.75938,3.6902206,-139.66235,-100.36373,18.788908,3.0,73.0,-6.91075,-9.878839,1.1582853,-1.2738736,-8.863893,1.2873228,1.2738736,3.124463,-0.03136917,-2.3336177,0.7337793,0.0023174682,80.0,37656,0.98889005,0.00029699999999999996,-92.0844497680664,11.060588836669922,0.504010011618452,96000,7,13682
4,-105.461845,4.702931,-149.15215,-100.35664,20.494799,3.0,85.0,-8.175038,-10.12165,-4.3406324,-0.1292278,-9.11075,1.4966984,0.12922779,0.3838458,-0.010660068,-0.14251424,0.72881675,0.0020999457,80.0,37656,0.9971139,0.00029549999999999997,-91.74913024902344,11.259882926940918,0.5015149959142412,128000,9,14226
5,-106.32179,5.2889824,-144.89897,-100.27075,23.26308,2.0,80.0,-8.317248,-9.662666,-5.9984555,0.13220313,-8.684317,1.5794283,-0.13220313,0.20567004,-0.006996596,-0.035164166,0.7238293,0.0017940057,80.0,37656,1.0010974,0.000294,-91.4071273803711,11.379371643066406,0.4990199874853069,160000,12,13798
6,-107.6935,6.3092237,-140.27612,-100.296486,27.09091,3.0,85.0,-8.215923,-9.326889,-5.9797797,0.1786475,-8.789126,1.3729652,-0.17864749,0.20415643,-0.006762636,-0.034409896,0.718817,0.0018174641,80.0,37656,1.0020158,0.00029249999999999995,-91.01441955566406,11.534039497375488,0.4965249910387956,192000,14,13992
7,-109.23363,7.802111,-146.80316,-100.185455,31.393574,2.0,87.0,-8.065986,-9.35439,-5.876345,0.20064989,-1.5430546,1.2198486,-0.20064989,0.18419848,-0.0063743764,-0.04242897,0.71377957,0.0015891112,80.0,37656,1.0024581,0.00029099999999999997,-90.50432586669922,12.065810203552246,0.49403001303756583,224000,16,14309
8,-112.28448,9.801654,-159.92561,-100.60594,37.9621,3.0,107.0,-7.89904,-9.382715,-5.5712595,0.3052459,-1.50284,1.3589022,-0.30524594,0.19115245,-0.0055047865,-0.08889189,0.7087164,0.001221502,80.0,37656,1.0071471,0.0002895,-89.95121002197266,12.741728782653809,0.4915350030951986,256000,19,14244
9,-114.201836,10.777973,-162.47856,-100.38254,41.548473,4.0,105.0,-7.5994434,-9.070377,-6.182028,0.33423743,-1.335352,1.134959,-0.3342374,0.1811806,-0.0052958066,-0.10291457,0.7036275,0.0011437614,80.0,37656,1.0089903,0.00028799999999999995,-89.57605743408203,13.032346725463867,0.48904000119877045,288000,21,14328
10,-116.42608,11.079763,-149.1808,-100.81477,45.739002,3.0,104.0,-7.268771,-8.540789,-5.978914,0.26042598,-1.3248734,1.0220801,-0.260426,0.13587211,-0.0047269505,-0.065007,0.6985127,0.0012451521,80.0,37656,1.008568,0.00028649999999999997,-89.22969818115234,13.347066879272461,0.4865449904666005,320000,23,13079
11,-119.17853,12.292329,-182.13687,-100.69091,50.89127,3.0,110.0,-6.9916162,-8.3143425,-5.036911,0.21611938,-1.8246917,0.9518186,-0.21611938,0.11483809,-0.0042528245,-0.04608783,0.69337153,0.0012254065,80.0,37656,1.0064697,0.000285,-88.84630584716797,13.827999114990234,0.4840500140318596,352000,26,14366
12,-122.38574,13.080415,-188.39,-100.75936,54.88516,3.0,107.0,-6.8015366,-8.180587,-5.2364063,0.20312296,-1.4937425,0.9326538,-0.20312294,0.09138061,-0.0037352946,-0.039656654,0.6882037,0.0011448604,80.0,37656,1.0080099,0.00028349999999999995,-88.59835815429688,14.086776733398438,0.48155500132769846,384000,28,13483
13,-123.832245,14.2174225,-204.30339,-100.177284,57.895718,2.0,147.0,-6.5752707,-7.945691,-4.63413,0.1510308,-7.183092,0.81921947,-0.15103078,0.12126161,-0.0044350987,-0.025552806,0.68300915,0.0012411135,80.0,37656,1.0047361,0.00028199999999999997,-88.37783813476562,14.320390701293945,0.4790599994846701,416000,30,14305
14,-124.97747,13.258609,-181.51624,-100.213165,61.021698,3.0,119.0,-6.4054403,-7.7020593,-4.8386607,0.14634086,-1.5771708,0.8241857,-0.14634088,0.071213365,-0.0033487023,-0.02201553,0.6777874,0.0011892569,80.0,37656,1.0055562,0.0002805,-88.12840270996094,14.590703010559082,0.4765649999128534,448000,32,14260
15,-127.42191,13.2302885,-176.91377,-101.42116,64.40167,5.0,133.0,-6.251761,-7.5589824,-4.663173,0.11790095,-7.0154595,0.7499044,-0.11790095,0.07121393,-0.0034011123,-0.013210298,0.67253816,0.0012216079,80.0,37656,1.0046146,0.00027899999999999995,-87.89488220214844,14.871773719787598,0.4740699962916369,480000,35,14333
16,-129.82437,14.916743,-204.54385,-100.73512,67.75658,7.0,123.0,-6.112547,-7.430306,-4.5445414,0.09997611,-6.746131,0.68531406,-0.09997611,0.07598969,-0.0037117405,-0.012854742,0.6672615,0.0013550353,80.0,37656,1.0047562,0.00027749999999999997,-87.72222137451172,15.08126163482666,0.47157501266664786,512000,37,13916
17,-131.43817,15.462708,-201.00757,-100.42239,69.33784,2.0,133.0,-6.0095077,-7.414342,-4.298698,0.08510693,-1.8006229,0.68333244,-0.085106924,0.04855833,-0.0030476637,-0.008340071,0.6619567,0.001342179,80.0,37656,1.0031607,0.000276,-87.56375122070312,15.33549976348877,0.46907999085743085,544000,39,14130
18,-131.90459,14.171167,-222.88536,-102.02819,70.87067,8.0,155.0,-5.899725,-7.167998,-4.274022,0.081025176,-6.535221,0.66485715,-0.08102518,0.05327492,-0.003268361,-0.007995458,0.6566235,0.0013356472,80.0,37656,1.0039065,0.0002745,-87.40077209472656,15.539682388305664,0.4665849873509768,576000,41,14308
19,-135.22786,16.254513,-215.52039,-101.57585,75.622826,10.0,159.0,-5.7924085,-7.1189227,-4.179945,0.07711516,-1.829217,0.6106155,-0.07711516,0.04510933,-0.0033300351,-0.008434907,0.65126175,0.0015385287,80.0,37656,1.002665,0.00027299999999999997,-87.23347473144531,15.812556266784668,0.46409000434407544,608000,44,14126
20,-136.17792,17.795582,-231.72896,-102.05083,75.54074,9.0,169.0,-5.6848893,-6.956389,-4.0682335,0.055765823,-2.0037591,0.6203017,-0.055765823,0.042399973,-0.0032071413,-0.0055876533,0.6458711,0.001570654,80.0,37656,1.0027791,0.0002715,-87.12042236328125,16.0285587310791,0.4615949912183419,640000,46,14298
21,-139.67415,19.274803,-289.87128,-101.05345,78.92857,5.0,167.0,-5.603043,-6.898478,-2.4403605,0.03612397,-3.8559098,0.8418143,-0.036123976,0.05105278,-0.0034250359,-0.0050396807,0.6404514,0.0014111514,80.0,37656,1.0003084,0.00027,-87.09030151367188,16.187570571899414,0.4591000102019319,672000,48,14040
22,-140.77145,20.966417,-245.7074,-102.91429,80.00525,11.0,236.0,-5.5241857,-6.982544,-2.4325874,0.033926453,-1.9537282,0.79345024,-0.03392645,0.052231032,-0.004000049,-0.004155634,0.635002,0.0017138459,80.0,37656,0.9992478,0.00026849999999999997,-87.03314208984375,16.369049072265625,0.45660498844061953,704000,51,14017
23,-143.89859,23.563099,-340.02856,-101.75449,83.77473,8.0,201.0,-5.4618874,-6.836602,-3.7320623,0.020762913,-6.1740847,0.6487217,-0.020762911,0.06675665,-0.0046003317,-0.0068258904,0.6295227,0.0017523089,80.0,37656,0.99898124,0.000267,-87.00308990478516,16.557241439819336,0.4541099923733702,736000,53,13911
24,-144.53845,31.479612,-453.46985,-100.36489,82.891304,3.0,232.0,-5.387763,-7.004997,-1.5952028,0.008717983,-3.5846372,0.7480259,-0.00871798,0.08679484,-0.005845626,-0.022406083,0.62401336,0.0019222425,80.0,37656,0.9987537,0.0002655,-86.99864196777344,16.858983993530273,0.4516150086544859,768000,55,14279
25,-150.0472,33.980778,-371.7499,-101.98521,88.15274,11.0,249.0,-5.273059,-6.9220834,-0.90109646,-0.0041792444,-4.959442,0.87899417,0.0041792477,0.11837956,-0.0068816207,-0.0386233,0.6184732,0.002085783,80.0,37656,0.9968403,0.00026399999999999997,-87.04644012451172,17.100513458251953,0.44911999991009005,800000,57,14118
26,-149.59233,37.027035,-419.50604,-100.584435,87.99712,10.0,255.0,-5.185871,-6.857561,-0.3364432,-0.0003215704,-5.6458564,0.7628246,0.0003215731,0.13154742,-0.0073101684,-0.046336688,0.61290264,0.0021114345,80.0,37656,0.9986414,0.0002625,-87.08452606201172,17.364938735961914,0.4466250119516001,832000,60,14155
27,-152.81877,38.664227,-439.92218,-101.081924,90.39577,9.0,243.0,-5.1495643,-7.149734,-2.0707834,-0.003620685,-3.2463453,1.0871811,0.003620686,0.12290291,-0.0077922307,-0.029663106,0.6073007,0.0021593496,80.0,37656,0.99720246,0.000261,-87.14775085449219,17.634511947631836,0.444130012697655,864000,62,13764
28,-156.70964,44.28577,-452.5782,-101.12714,93.32087,5.0,267.0,-5.067491,-7.2800393,-2.053568,-0.028345702,-5.6080923,1.2668824,0.028345702,0.17816575,-0.00987415,-0.06043566,0.601667,0.0023303397,80.0,37656,0.99695295,0.00025949999999999997,-87.24242401123047,17.97759437561035,0.44163499968438996,896000,64,14257
29,-162.8061,48.373875,-493.16946,-102.19309,97.6579,10.0,260.0,-5.065641,-7.902931,-2.3991191,-0.019333716,-5.5715013,1.8636847,0.019333716,0.16985807,-0.009427944,-0.048518848,0.5960015,0.0023409142,80.0,37656,0.9975516,0.000258,-87.36209106445312,18.423078536987305,0.4391399993071233,928000,67,14150
30,-169.30331,75.31421,-781.25684,-100.47824,98.660065,3.0,307.0,-5.0513487,-8.10486,-1.7271284,-0.046007544,-5.052763,2.3572874,0.04600755,0.25414532,-0.012268851,-0.12087769,0.5903038,0.0023677594,80.0,37656,0.99394286,0.00025649999999999995,-87.66215515136719,19.305618286132812,0.4366449879834974,960000,69,14255
31,-165.6053,71.58447,-759.37244,-100.6998,100.16161,9.0,306.0,-5.012382,-8.816354,-2.6111195,0.045332458,-5.05234,3.1709094,-0.04533246,0.20492312,-0.010017007,-0.0579313,0.5845733,0.0023383694,80.0,37656,1.002213,0.00025499999999999996,-87.80815887451172,20.104902267456055,0.4341499971346156,992000,71,14286
32,-172.26875,66.674355,-715.7362,-101.15234,104.072914,10.0,332.0,-4.8795624,-8.941666,-2.6656487,0.048615906,-2.54129,3.717145,-0.04861591,0.15069747,-0.008487752,-0.044842217,0.5788098,0.0020187884,80.0,37656,1.0005414,0.0002535,-87.97306060791016,20.65452003479004,0.43165500876755664,1024000,73,14106
33,-173.83737,76.26266,-755.10895,-101.68751,104.33218,9.0,361.0,-4.857451,-9.017104,-2.947436,0.059788827,-3.0513144,3.6910787,-0.059788823,0.14710486,-0.008294298,-0.04042641,0.57301325,0.0019169527,80.0,37656,1.0021765,0.00025199999999999995,-88.19645690917969,21.300880432128906,0.4291600081062228,1056000,76,14296
34,-172.66524,68.47602,-524.4725,-102.60659,106.2724,12.0,321.0,-4.774799,-9.368394,-2.514421,0.067015365,-4.944262,4.3395433,-0.067015365,0.1639983,-0.008552218,-0.044648353,0.56718254,0.0019069891,80.0,37656,1.0033183,0.00025049999999999996,-88.38268280029297,21.900402069091797,0.4266650090060376,1088000,78,13940
35,-175.23157,62.636395,-494.72507,-101.81454,107.22546,11.0,281.0,-4.665954,-9.588567,-1.956838,0.07359009,-2.7796788,4.5636396,-0.0735901,0.13168752,-0.0077620726,-0.03563121,0.56131744,0.0018603648,80.0,37656,1.002712,0.000249,-88.51188659667969,22.20680046081543,0.42417000262846627,1120000,80,14278
36,-181.69138,80.73192,-633.70355,-102.73281,111.31481,10.0,325.0,-4.5794797,-9.119429,-2.3415365,0.043122005,-2.346322,4.1900487,-0.04312201,0.1154841,-0.007483529,-0.030355308,0.555418,0.0018269087,80.0,37656,1.001572,0.00024749999999999994,-88.7367935180664,22.701589584350586,0.42167500843485783,1152000,82,14290
37,-167.40503,72.68301,-1111.562,-100.839645,101.61074,3.0,377.0,-4.380114,-7.983725,-1.6432192,0.062374707,-4.4056773,3.0310488,-0.06237471,0.11162624,-0.0068572112,-0.03408709,0.54948384,0.0017274768,80.0,37656,1.003564,0.000246,-88.83772277832031,23.051660537719727,0.4191799984699375,1184000,85,14249
38,-167.6358,68.87918,-569.37195,-101.1521,101.91467,10.0,310.0,-4.3249326,-9.278581,-2.541924,0.06148931,-1.9233602,4.534899,-0.061489314,0.09089902,-0.006363612,-0.023176713,0.5435137,0.0017839735,80.0,37656,1.0030272,0.0002445,-88.92631530761719,23.328561782836914,0.416684998176254,1216000,87,13911
39,-167.46808,75.62798,-878.35944,-102.12938,102.467575,10.0,264.0,-4.228699,-8.784014,-2.1803248,0.058934655,-3.1249335,4.038919,-0.05893466,0.103713736,-0.006655122,-0.02878087,0.5375081,0.0018838911,80.0,37656,1.003021,0.000243,-89.00746154785156,23.75972557067871,0.4141900108255301,1248000,89,14096
40,-164.27214,55.65158,-534.8336,-101.06483,102.9827,9.0,302.0,-4.1078343,-8.497813,-2.1800022,0.0644271,-2.0991707,3.0437837,-0.06442709,0.06422205,-0.0050859973,-0.014214488,0.531466,0.0016636609,80.0,37656,1.0035172,0.00024149999999999996,-89.01219940185547,23.83758544921875,0.4116949937042789,1280000,91,14287
41,-168.17166,70.63727,-667.6864,-101.28388,104.43463,7.0,292.0,-4.044119,-8.77346,-2.5023098,0.04021473,-2.103588,3.8252306,-0.040214732,0.08389337,-0.00628577,-0.024711289,0.5253873,0.001858633,80.0,37656,1.0008541,0.00023999999999999998,-89.0532455444336,24.1241397857666,0.40920000592278644,1312000,94,14015
42,-163.57776,66.26107,-843.6741,-100.90495,104.78472,10.0,311.0,-3.9019823,-8.6076145,-1.9305649,0.045481727,-2.8931696,3.0646563,-0.045481723,0.06759443,-0.0053765415,-0.02043149,0.51927143,0.0018333811,80.0,37656,1.0012617,0.0002385,-89.0430679321289,24.37194061279297,0.4067050114888296,1344000,96,14327
43,-153.6513,48.80125,-468.68967,-100.92701,95.31511,3.0,346.0,-3.7982275,-7.536016,-2.4333904,0.041831672,-1.7655089,2.477995,-0.041831672,0.058057263,-0.0052159633,-0.011232132,0.51311773,0.0018880077,80.0,37656,1.0045754,0.000237,-88.95567321777344,24.420228958129883,0.4042100027254721,1376000,98,13918
44,-159.46727,55.310688,-480.96445,-101.6542,102.14384,12.0,293.0,-3.7897315,-7.470224,-2.4054537,0.035137422,-1.5241423,2.4119816,-0.035137422,0.04718597,-0.004630684,-0.009348364,0.50692606,0.0018529131,80.0,37656,1.0009475,0.00023549999999999998,-88.91154479980469,24.49330711364746,0.4017149995065501,1408000,101,14300
45,-156.23282,46.729923,-477.27814,-100.82103,102.986206,8.0,337.0,-3.6825705,-7.7212276,-2.473097,0.03327543,-4.0066357,2.0453608,-0.03327543,0.04659589,-0.004383588,-0.0076231924,0.50069577,0.0018028682,80.0,37656,1.0024651,0.000234,-88.8104019165039,24.52598762512207,0.3992200009009028,1440000,103,14033
46,-155.92647,49.66055,-584.66693,-101.273125,101.05442,4.0,345.0,-3.6328979,-7.6358,-2.4638176,0.01959395,-1.5120788,3.0124974,-0.01959395,0.046548113,-0.004513001,-0.008081117,0.49442673,0.0019775808,80.0,37656,1.0016322,0.00023249999999999999,-88.71015930175781,24.589157104492188,0.3967250095405888,1472000,105,14331
47,-164.90778,64.580025,-578.8029,-100.515144,108.014496,10.0,401.0,-3.6345294,-7.4850883,-2.410652,0.0017440458,-4.060336,1.6610837,-0.0017440456,0.052460693,-0.0050413674,-0.014236966,0.4881177,0.0020161364,80.0,37656,1.0000495,0.00023099999999999998,-88.66236877441406,24.703210830688477,0.3942300081003883,1504000,107,14199
48,-160.61278,55.741177,-573.1015,-100.79813,105.29078,5.0,300.0,-3.6099696,-7.973688,-2.353807,0.0154882055,-1.9182235,2.129992,-0.015488207,0.04308204,-0.0043170066,-0.008155613,0.4817686,0.0019035444,80.0,37656,1.0021768,0.0002295,-88.5892333984375,24.80919075012207,0.3917350067166933,1536000,110,14141
49,-157.70552,47.88438,-478.01645,-101.120895,105.04225,9.0,283.0,-3.5676343,-8.455819,-2.2879336,0.019988913,-1.7424922,2.555243,-0.01998891,0.037468363,-0.003932909,-0.005137256,0.47537944,0.0018366108,80.0,37656,1.0014458,0.00022799999999999999,-88.4900131225586,24.84281349182129,0.3892399958191972,1568000,112,13505
50,-162.06967,64.96118,-843.0634,-100.78204,107.62816,10.0,395.0,-3.55301,-7.4167967,-2.2423944,0.00420751,-2.0590804,1.6841161,-0.004207509,0.05005804,-0.00500136,-0.013048524,0.46894878,0.0020473688,80.0,37656,0.99920076,0.00022649999999999998,-88.4317626953125,24.974899291992188,0.3867449929537323,1600000,114,13052
51,-161.9956,47.8481,-524.1912,-100.62506,114.24138,10.0,457.0,-3.4638717,-7.1446385,-2.1273184,0.020423466,-4.093971,2.0237784,-0.020423468,0.042546943,-0.004264487,-0.005434891,0.4624766,0.0020323272,80.0,37656,1.0001898,0.000225,-88.29672241210938,25.00418472290039,0.38424999620757794,1632000,117,13344
52,-164.20134,54.47913,-458.24496,-101.6835,113.47328,8.0,344.0,-3.4535425,-6.465701,-2.0613418,-0.00019937611,-3.8979073,2.2234793,0.0001993759,0.04055497,-0.0043470757,-0.005998713,0.45596218,0.0021357595,80.0,37656,0.9983455,0.00022349999999999998,-88.19771575927734,25.03634262084961,0.3817550076817971,1664000,120,11957
53,-165.04303,55.890015,-424.12933,-101.73266,118.27419,8.0,500.0,-3.421288,-6.916758,-2.130919,0.0034312778,-1.8074586,1.52409,-0.003431276,0.036016226,-0.004297061,-0.006310688,0.44940522,0.0021429579,80.0,37656,0.99921995,0.00022199999999999998,-88.0707778930664,25.10816764831543,0.3792600108593067,1696000,122,13792
54,-166.09631,51.36838,-577.4733,-100.86817,121.38618,5.0,393.0,-3.432832,-7.086986,-2.0596051,0.017746119,-3.9713519,1.3943235,-0.017746117,0.041069657,-0.0043865163,-0.006125115,0.44280475,0.0021385206,80.0,37656,1.0000191,0.00022049999999999997,-87.94388580322266,25.147174835205078,0.3767649937784258,1728000,124,14116
55,-165.33875,54.25436,-564.2737,-100.89125,121.34979,6.0,325.0,-3.3795588,-6.9732666,-2.0986145,0.01644809,-1.8138323,1.9065981,-0.016448092,0.04015924,-0.004418659,-0.009247933,0.43616062,0.002193065,80.0,37656,0.9998919,0.00021899999999999998,-87.80558776855469,25.234588623046875,0.3742699936216597,1760000,126,14182
56,-171.22856,58.75866,-582.0147,-101.56065,127.75221,9.0,500.0,-3.3527865,-5.850144,-2.0022855,0.016200101,-1.5759063,1.7580192,-0.016200103,0.03407127,-0.004122004,-0.0052728592,0.429472,0.002058348,80.0,37656,1.0000961,0.00021749999999999997,-87.64373779296875,25.314607620239258,0.37177500656208007,1792000,129,14083
57,-171.91724,50.241795,-395.50128,-101.47571,135.04762,8.0,500.0,-3.2956681,-5.8804927,-1.9924451,0.022156479,-1.5856941,1.8460875,-0.022156479,0.031967543,-0.003996538,-0.0038182782,0.42273828,0.0020692856,80.0,37656,1.0013635,0.00021599999999999996,-87.44731903076172,25.415401458740234,0.369279989221283,1824000,131,14133
58,-173.9231,57.472126,-477.90414,-101.161644,134.13637,9.0,500.0,-3.3189876,-6.1368046,-1.9583542,0.013270769,-3.8491302,2.0467896,-0.013270768,0.039821163,-0.004508671,-0.0077049294,0.4159592,0.0022544214,80.0,37656,0.99994636,0.0002145,-87.30731964111328,25.465835571289062,0.36678501316118484,1856000,133,13899
59,-178.276,54.002373,-371.66745,-101.5594,145.97015,8.0,415.0,-3.2392523,-5.469566,-1.9440137,0.026965484,-1.638422,1.6601998,-0.026965486,0.03076911,-0.0037845932,-0.0046658088,0.40913343,0.0020496524,80.0,37656,1.001434,0.00021299999999999997,-87.13309478759766,25.547494888305664,0.3642899788615118,1888000,136,14216
60,-179.98425,55.66218,-479.50195,-101.917786,148.19171,9.0,473.0,-3.218233,-5.5983906,-1.9098252,0.022330495,-1.6905255,1.0328038,-0.022330493,0.028530201,-0.0038122283,-0.003916172,0.402261,0.0021180217,80.0,37656,1.0015709,0.0002115,-86.94377136230469,25.641557693481445,0.3617950098006402,1920000,138,13287
61,-179.82191,58.80198,-551.7396,-101.72437,147.125,9.0,473.0,-3.2120214,-6.3059196,-1.8640795,0.024501625,-1.7263381,1.6680517,-0.024501622,0.030453805,-0.0040556495,-0.0050933557,0.3953409,0.0023401077,80.0,37656,1.0023375,0.00020999999999999998,-86.77766418457031,25.730445861816406,0.3592999952524963,1952000,140,14016
62,-180.75299,62.833675,-459.3795,-100.75139,155.18716,8.0,500.0,-3.111808,-5.5776906,-1.8848119,0.02104819,-1.7904812,1.3867446,-0.021048188,0.028639559,-0.003970921,-0.003578959,0.3883726,0.002301883,80.0,37656,1.0013632,0.0002085,-86.56858825683594,25.840538024902344,0.3568050025098689,1984000,143,14020
63,-189.27531,61.216274,-566.01324,-101.42846,171.42857,9.0,500.0,-3.0588753,-5.3505692,-1.7626442,0.034133524,-1.6041305,1.4102234,-0.034133524,0.028111525,-0.0039424263,-0.00532907,0.3813555,0.002367835,80.0,37656,1.0032965,0.00020699999999999996,-86.31400299072266,26.03449821472168,0.35431001747927265,2016000,145,13950
64,-198.48291,73.71636,-447.98178,-101.600555,193.84058,9.0,500.0,-2.9731882,-4.75413,-1.703386,0.03931688,-1.6547668,1.0825576,-0.03931688,0.02506133,-0.0036513833,-0.005241186,0.37428862,0.0022109356,80.0,37656,1.0045793,0.0002055,-86.01589965820312,26.275434494018555,0.3518149895595312,2048000,147,13603
65,-195.55421,63.517624,-401.6508,-101.8179,201.18797,10.0,500.0,-2.8557105,-5.3058352,-1.5770438,0.037159555,-1.7359853,1.3936265,-0.037159555,0.029206578,-0.00404044,-0.005723743,0.3671717,0.002217881,80.0,37656,1.0021625,0.00020399999999999997,-85.6853256225586,26.562524795532227,0.34931999966136884,2080000,150,14001
66,-202.9872,64.276955,-421.82654,-102.24546,217.71774,10.0,500.0,-2.7929454,-4.9654326,-1.4941436,0.041625112,-1.5822344,1.1107799,-0.041625112,0.023125393,-0.0034384963,-0.004252605,0.36000347,0.0020626434,80.0,37656,1.0063201,0.0002025,-85.34757232666016,26.84954833984375,0.34682500764008783,2112000,152,13637
67,-193.91576,66.02713,-421.46716,-100.92089,204.33582,8.0,500.0,-2.7194772,-5.0255756,-1.4830182,0.040304653,-1.9476517,1.2535522,-0.040304653,0.02664428,-0.0039549293,-0.004916117,0.35278368,0.002295441,80.0,37656,1.0064199,0.00020099999999999995,-85.00332641601562,27.158355712890625,0.3443299798605651,2144000,154,13933
